,_id,street_name,num_nearby,nb_best,nb_best_dist,nb_worst,nb_worst_dist
81,55e8e21cb1c8a71ef4d73b9e,Heideblick,1,Heideblick,0.0,Heideblick,0.0
82,55e8e21fb1c8a71ef4d76087,Bonnewitzer Straße,0,,,,
83,55e8e227b1c8a71ef4d7c4e2,Dr.-Külz-Ring,0,,,,
84,55e8e22ab1c8a71ef4d7ebf2,Zur Wetterwarte,0,,,,
85,55e8e22fb1c8a71ef4d82615,Peschelstraße,1,Peschelstraße,0.0,Peschelstraße,0.0
86,55e8e22fb1c8a71ef4d82617,Peschelstraße,1,Peschelstraße,0.0,Peschelstraße,0.0
87,55e8e22fb1c8a71ef4d82619,Peschelstraße,1,Peschelstraße,0.0,Peschelstraße,0.0
88,55e8e22fb1c8a71ef4d82632,Peschelstraße,1,Peschelstraße,0.0,Peschelstraße,0.0
89,55e8e22fb1c8a71ef4d82635,Peschelstraße,1,Peschelstraße,0.0,Peschelstraße,0.0
90,55e8e22fb1c8a71ef4d82638,Peschelstraße,1,Peschelstraße,0.0,Peschelstraße,0.0
91,55e8e234b1c8a71ef4d86637,Dresdner Straße,1,Dresdner Straße,0.0,Dresdner Straße,0.0
92,55e8e23fb1c8a71ef4d8eb95,Ferdinand-Freiligrath-Straße,1,Ferdinand-Freiligrath-Straße,0.0,Ferdinand-Freiligrath-Straße,0.0
93,55e8e23fb1c8a71ef4d8eb96,Ferdinand-Freiligrath-Straße,1,Ferdinand-Freiligrath-Straße,0.0,Ferdinand-Freiligrath-Straße,0.0
94,55e8e23fb1c8a71ef4d8eb97,Markt,0,,,,
95,55e8e256b1c8a71ef4da0611,Hechtstraße,1,Hechtstraße,0.0,Hechtstraße,0.0
96,55e8e258b1c8a71ef4da1e78,Reisewitzer Straße,0,,,,
97,55e8e25db1c8a71ef4da558b,An der Siedlung,0,,,,
98,55e8e264b1c8a71ef4dab225,Bautzner Straße,1,Böhmische Straße,8.0,Böhmische Straße,8.0
99,55e8e265b1c8a71ef4dac0bc,Clara-Viebig-Straße,0,,,,
100,55e8e26cb1c8a71ef4db103e,Overbeckstraße,1,Overbeckstraße,0.0,Overbeckstraße,0.0
101,55e8e26eb1c8a71ef4db2ae6,Neucoswiger Straße,0,,,,
102,55e8e274b1c8a71ef4db6c00,Comeniusstraße,0,,,,
103,55e8e274b1c8a71ef4db6c01,Comeniusstraße,0,,,,
104,55e8e276b1c8a71ef4db8a13,Reisewitzer Straße,1,Bonhoefferplatz,15.0,Bonhoefferplatz,15.0
105,55e8e280b1c8a71ef4dbfd9b,Försterlingstraße,1,Försterlingstraße,0.0,Försterlingstraße,0.0
106,55e8e280b1c8a71ef4dbfda1,Försterlingstraße,1,Försterlingstraße,0.0,Försterlingstraße,0.0
107,55e8e280b1c8a71ef4dbfda7,Försterlingstraße,1,Försterlingstraße,0.0,Försterlingstraße,0.0
108,55e8e280b1c8a71ef4dbfdbc,Försterlingstraße,1,Försterlingstraße,0.0,Försterlingstraße,0.0
109,55e8e283b1c8a71ef4dc1bef,Schmilkaer Straße,1,Schmilkaer Straße,0.0,Schmilkaer Straße,0.0
110,55e8e283b1c8a71ef4dc1bf0,Schmilkaer Straße,1,Schmilkaer Straße,0.0,Schmilkaer Straße,0.0
111,55e8e283b1c8a71ef4dc1bf1,Schmilkaer Straße,1,Schmilkaer Straße,0.0,Schmilkaer Straße,0.0
112,55e8e283b1c8a71ef4dc1bf2,Schmilkaer Straße,1,Schmilkaer Straße,0.0,Schmilkaer Straße,0.0
113,55e8e283b1c8a71ef4dc1bf3,Schmilkaer Straße,1,Schmilkaer Straße,0.0,Schmilkaer Straße,0.0
114,55e8e283b1c8a71ef4dc1bf4,Schmilkaer Straße,1,Schmilkaer Straße,0.0,Schmilkaer Straße,0.0
115,55e8e283b1c8a71ef4dc1bf5,Schmilkaer Straße,1,Schmilkaer Straße,0.0,Schmilkaer Straße,0.0
116,55e8e283b1c8a71ef4dc1bf6,Schmilkaer Straße,1,Schmilkaer Straße,0.0,Schmilkaer Straße,0.0
117,55e8e283b1c8a71ef4dc23d3,Röhrsdorfer Straße,1,Röhrsdorfer Straße,0.0,Röhrsdorfer Straße,0.0
118,55e8e2abb1c8a71ef4de0576,Schachtstraße,1,Schachtstraße,0.0,Schachtstraße,0.0
119,55e8e2adb1c8a71ef4de1b02,Kirchstraße,0,,,,
120,55e8e2adb1c8a71ef4de1b1d,Tharandter Straße,0,,,,
121,55e8e2adb1c8a71ef4de1dab,Hoher Plan,0,,,,
122,55e8e2afb1c8a71ef4de30d7,Pfarrer-Wolf-Straße,1,Pfarrer-Wolf-Straße,0.0,Pfarrer-Wolf-Straße,0.0
123,55e8e2afb1c8a71ef4de30d8,Pfarrer-Wolf-Straße,1,Pfarrer-Wolf-Straße,0.0,Pfarrer-Wolf-Straße,0.0
124,55e8e2afb1c8a71ef4de30d9,Pfarrer-Wolf-Straße,2,Pfarrer-Wolf-Straße,0.0,Reiboldschachtring,17.0
125,55e8e2afb1c8a71ef4de30da,Pfarrer-Wolf-Straße,1,Pfarrer-Wolf-Straße,0.0,Pfarrer-Wolf-Straße,0.0
126,55e8e2afb1c8a71ef4de30db,Pfarrer-Wolf-Straße,1,Pfarrer-Wolf-Straße,0.0,Pfarrer-Wolf-Straße,0.0
127,55e8e2afb1c8a71ef4de30dc,Pfarrer-Wolf-Straße,1,Pfarrer-Wolf-Straße,0.0,Pfarrer-Wolf-Straße,0.0
128,55e8e2afb1c8a71ef4de30dd,Pfarrer-Wolf-Straße,1,Pfarrer-Wolf-Straße,0.0,Pfarrer-Wolf-Straße,0.0
129,55e8e2afb1c8a71ef4de30df,Pfarrer-Wolf-Straße,2,Pfarrer-Wolf-Straße,0.0,Kohlenstraße,13.0
130,55e8e2b2b1c8a71ef4de573f,Birkigter Hang,0,,,,
131,55e8e2b7b1c8a71ef4de8f5d,Langebrücker Straße,1,Langebrücker Straße,0.0,Langebrücker Straße,0.0
132,55e8e2b7b1c8a71ef4de8f5e,Gartenweg,0,,,,
133,55e8e2b7b1c8a71ef4de96e2,Hainsberger Straße,2,Hainsberger Straße,0.0,An der Kleinbahn,14.0
134,55e8e2bab1c8a71ef4deb424,Cornelius-Gurlitt-Straße,0,,,,
135,55e8e2c4b1c8a71ef4df34f8,Wehrstraße,1,Wehrstraße,0.0,Wehrstraße,0.0
136,55e8e2c4b1c8a71ef4df34f9,Wehrstraße,1,Wehrstraße,0.0,Wehrstraße,0.0
137,55e8e2c5b1c8a71ef4df3dc7,Lange Straße,1,Lange Straße,0.0,Lange Straße,0.0
138,55e8e2c5b1c8a71ef4df3e76,Dresdner Straße,1,Dresdner Straße,0.0,Dresdner Straße,0.0
139,55e8e2cdb1c8a71ef4df9e49,Eisenbahnstraße,1,Eisenbahnstraße,0.0,Eisenbahnstraße,0.0
140,55e8e2cdb1c8a71ef4df9e4f,Eisenbahnstraße,1,Eisenbahnstraße,0.0,Eisenbahnstraße,0.0
141,55e8e2cdb1c8a71ef4df9e54,Eisenbahnstraße,1,Eisenbahnstraße,0.0,Eisenbahnstraße,0.0
142,55e8e2cdb1c8a71ef4df9e55,Eisenbahnstraße,1,Eisenbahnstraße,0.0,Eisenbahnstraße,0.0
143,55e8e2cdb1c8a71ef4df9e58,Eisenbahnstraße,1,Eisenbahnstraße,0.0,Eisenbahnstraße,0.0
144,55e8e2cdb1c8a71ef4df9e5f,Eisenbahnstraße,1,Eisenbahnstraße,0.0,Eisenbahnstraße,0.0
145,55e8e2d8b1c8a71ef4e0246a,Alaunstraße,2,Alaunstraße,0.0,Görlitzer Straße,10.0
146,55e8e2d9b1c8a71ef4e03239,Am Lehmberg,1,Alte Meißner Landstraße,18.0,Alte Meißner Landstraße,18.0
147,55e8e2dbb1c8a71ef4e05119,Heinrich-Heine-Straße,1,Heinrich-Heine-Straße,0.0,Heinrich-Heine-Straße,0.0
148,55e8e2dbb1c8a71ef4e0511a,Heinrich-Heine-Straße,1,Heinrich-Heine-Straße,0.0,Heinrich-Heine-Straße,0.0
149,55e8e2dbb1c8a71ef4e0511b,Heinrich-Heine-Straße,1,Heinrich-Heine-Straße,0.0,Heinrich-Heine-Straße,0.0
150,55e8e2dbb1c8a71ef4e0511c,Heinrich-Heine-Straße,1,Heinrich-Heine-Straße,0.0,Heinrich-Heine-Straße,0.0
151,55e8e2dbb1c8a71ef4e0511d,Heinrich-Heine-Straße,1,Heinrich-Heine-Straße,0.0,Heinrich-Heine-Straße,0.0
152,55e8e2deb1c8a71ef4e07682,Breitscheidstraße,1,Breitscheidstraße,0.0,Breitscheidstraße,0.0
153,55e8e2e6b1c8a71ef4e0d447,Lutherstraße,0,,,,
154,55e8e2e7b1c8a71ef4e0d90b,Loschwitzer Straße,0,,,,
155,55e8e2ebb1c8a71ef4e10e39,Dresdner Straße,1,Dresdner Straße,0.0,Dresdner Straße,0.0
156,55e8e2ebb1c8a71ef4e10e3a,Brückenstraße,2,Brückenstraße,0.0,Am Mittelfeld,13.0
157,55e8e2ebb1c8a71ef4e10e3b,Brückenstraße,2,Brückenstraße,0.0,Am Mittelfeld,13.0
158,55e8e2ebb1c8a71ef4e10e3c,Kötzschenbrodaer Straße,1,Kötzschenbrodaer Straße,0.0,Kötzschenbrodaer Straße,0.0
