,float,int,str,other
seats,0.0,1169.0,0.0,0.0
second_hand,0.0,0.0,0.0,32.0
segregated,0.0,0.0,0.0,789.0
self_service,0.0,0.0,0.0,16.0
self_storage,0.0,0.0,0.0,1.0
service,0.0,0.0,0.0,8486.0
service_times,0.0,0.0,0.0,5.0
shelter,0.0,0.0,0.0,2043.0
shelter_type,0.0,0.0,0.0,55.0
ship,0.0,0.0,0.0,1.0
shisha,0.0,0.0,0.0,7.0
shoes,0.0,0.0,0.0,5.0
shooting,0.0,0.0,0.0,2.0
shop,0.0,0.0,0.0,3736.0
short_name,0.0,0.0,0.0,59.0
shower,0.0,0.0,0.0,2.0
sidewalk,0.0,0.0,0.0,1214.0
site_type,0.0,0.0,0.0,1.0
ski,0.0,0.0,0.0,85.0
sloped_curb,0.0,0.0,0.0,966.0
smokefree,0.0,0.0,0.0,1.0
smoking,0.0,0.0,0.0,224.0
smoking_hours,0.0,0.0,0.0,1.0
smoothness,0.0,0.0,0.0,3121.0
sms,0.0,0.0,0.0,26.0
snowmobile,0.0,0.0,0.0,84.0
social_facility,0.0,0.0,0.0,48.0
source,0.0,0.0,0.0,29802.0
source_ref,0.0,0.0,0.0,36.0
speciality,0.0,0.0,0.0,5.0
species,0.0,0.0,0.0,162.0
sport,0.0,0.0,0.0,773.0
stamps,0.0,0.0,0.0,1.0
stars,0.0,20.0,0.0,0.0
start_date,0.0,197.0,0.0,388.0
startline,0.0,0.0,0.0,1.0
station_id,0.0,0.0,0.0,1.0
stay,0.0,5.0,0.0,0.0
step_count,0.0,365.0,0.0,2.0
steps,0.0,0.0,0.0,1.0
stone_type,0.0,0.0,0.0,22.0
stop_date,0.0,1.0,0.0,13.0
storage,0.0,0.0,0.0,3.0
street_cabinet,0.0,0.0,0.0,9.0
structure,0.0,0.0,0.0,1.0
studio,0.0,0.0,0.0,1.0
substance,0.0,0.0,0.0,5.0
substation,0.0,0.0,0.0,175.0
supervised,0.0,0.0,0.0,195.0
support,0.0,0.0,0.0,49.0
surface,0.0,0.0,0.0,15364.0
surface_material,0.0,0.0,0.0,1.0
surface_state,0.0,0.0,0.0,9.0
surveillance,0.0,0.0,0.0,46.0
sustenance,0.0,0.0,0.0,1.0
swimming,0.0,0.0,0.0,3.0
symbol,0.0,0.0,0.0,4.0
table,0.0,0.0,0.0,2.0
tactile_paving,0.0,0.0,0.0,872.0
takeaway,0.0,0.0,0.0,53.0
taxi,0.0,0.0,0.0,22.0
taxon,0.0,0.0,0.0,1.0
tenant,0.0,0.0,0.0,3.0
tents,0.0,0.0,0.0,12.0
thermometer,0.0,0.0,0.0,3.0
tickets,0.0,0.0,0.0,2.0
todo,0.0,0.0,0.0,1.0
toilet,0.0,0.0,0.0,17.0
toilets,0.0,0.0,0.0,14.0
toll,0.0,0.0,0.0,2.0
tomb,0.0,0.0,0.0,1.0
topmark,0.0,0.0,0.0,19.0
tourism,0.0,0.0,0.0,1871.0
tourist_bus,0.0,0.0,0.0,4.0
tower,0.0,0.0,0.0,2.0
tracks,0.0,40.0,0.0,0.0
tracktype,0.0,0.0,0.0,4842.0
trade,0.0,0.0,0.0,2.0
traffic_calming,0.0,0.0,0.0,107.0
traffic_sign,0.0,1.0,0.0,533.0
trail_visibility,0.0,0.0,0.0,196.0
train,0.0,0.0,0.0,106.0
training,0.0,0.0,0.0,1.0
tram,0.0,0.0,0.0,586.0
transformer,0.0,0.0,0.0,2.0
tree_lined,0.0,0.0,0.0,9.0
trees,0.0,0.0,0.0,7.0
truck_wash,0.0,0.0,0.0,1.0
tunnel,0.0,0.0,0.0,1047.0
turn,0.0,0.0,0.0,22.0
tv,0.0,0.0,0.0,1.0
type,0.0,0.0,0.0,1360188.0
unisex,0.0,0.0,0.0,2.0
url,0.0,0.0,0.0,58.0
usage,0.0,0.0,0.0,1478.0
user,0.0,0.0,0.0,1.0
valves,0.0,0.0,0.0,3.0
vegan,0.0,0.0,0.0,1.0
vegetabels,0.0,0.0,0.0,1.0
vehicle,0.0,0.0,0.0,374.0
vending,0.0,0.0,0.0,606.0
verified,0.0,0.0,0.0,1.0
version,0.0,1.0,0.0,0.0
veterinary,0.0,0.0,0.0,1.0
via_ferrata_scale,0.0,2.0,0.0,0.0
view,0.0,0.0,0.0,5.0
visibility,0.0,0.0,0.0,55.0
visible,0.0,0.0,0.0,1.0
voltage,0.0,2522.0,0.0,11.0
voltage-high,0.0,10.0,0.0,0.0
voltage-low,0.0,10.0,0.0,0.0
wall,0.0,0.0,0.0,39.0
waste,0.0,0.0,0.0,1.0
waste_basket,0.0,0.0,0.0,122.0
water,0.0,0.0,0.0,40.0
water_slide,0.0,0.0,0.0,3.0
waterway,0.0,0.0,0.0,1367.0
website,0.0,0.0,0.0,2647.0
weight,0.0,1.0,0.0,0.0
wetland,0.0,0.0,0.0,15.0
wheelchair,0.0,0.0,0.0,9010.0
width,1243.0,2201.0,0.0,22.0
wifi,0.0,0.0,0.0,16.0
wikidata,0.0,0.0,0.0,14.0
wikimedia_commons,0.0,0.0,0.0,1.0
wikipedia,0.0,0.0,0.0,851.0
winter_service,0.0,0.0,0.0,24.0
wires,0.0,0.0,0.0,79.0
wood,0.0,0.0,0.0,224.0
year,0.0,9.0,0.0,2.0
zoo,0.0,0.0,0.0,1.0
